Order,English,Deutsch,Gender,Type,Level,Unit,Example
346,train station,der Bahnhof,masculine,noun,A1,7,"Ich gehe zum Bahnhof, um den Zug zu nehmen."
347,fantastic,fantastisch,null,adjective,A1,7,Das Essen ist wirklich fantastisch!
348,degree,der Grad,masculine,noun,A1,7,Es sind zwanzig Grad Celsius.
349,to have,haben,null,verb,A1,7,Ich habe heute keine Zeit.
350,to the (feminine countries),in die,null,phrase,A1,7,Ich fliege in die Schweiz.
351,into the,ins,null,phrase,A1,7,Wir gehen jetzt ins Kino.
352,coffee,der Kaffee,masculine,noun,A1,7,Ich trinke gern Kaffee.
353,cool,kühl,null,adjective,A1,7,Es ist heute kühl draußen.
354,"kind regards, love from",liebe Grüße,null,phrase,A1,7,Liebe Grüße aus Berlin!
355,"to (cities, most countries)",nach,null,preposition,A1,7,Wir fahren heute nach Berlin.
356,night,die Nacht,feminine,noun,A1,7,Wir schlafen gut in der Nacht.
357,to reserve,reservieren,null,verb,A1,7,Ich reserviere einen Tisch für zwei Personen.
358,"reception, front desk",die Rezeption,feminine,noun,A1,7,Wo ist die Rezeption?
359,"castle, palace",das Schloss,neuter,noun,A1,7,Das alte Schloss ist ein Museum.
360,key,der Schlüssel,masculine,noun,A1,7,Ich suche meinen Schlüssel.
361,sun,die Sonne,feminine,noun,A1,7,Die Sonne scheint heute sehr hell.
362,many greetings from,viele Grüße,null,phrase,A1,7,Viele Grüße aus Deutschland!
363,"wonderful, gorgeous",wunderschön,null,adjective,A1,7,Der Garten sieht im Sommer wunderschön aus.
364,train,der Zug,masculine,noun,A1,7,Der Zug fährt sehr schnell.
365,to wake up,aufwachen,null,verb,A1,8,Ich wache immer um sieben Uhr auf.
366,to stay/remain,bleiben,null,verb,A1,8,Ich bleibe heute Abend zu Hause.
367,this (demonstrative article),dieser,null,adjective,A1,8,Dieser Tisch ist wirklich groß.
368,"you (dative, informal)",dir,null,adverb,A1,8,Wie geht es dir?
369,to fall asleep,einschlafen,null,verb,A1,8,Ich schlafe schnell ein.
370,you all (accusative),euch,null,adverb,A1,8,Ich sehe euch alle.
371,to drive/travel,fahren,null,verb,A1,8,Ich fahre nach Berlin.
372,"film, movie",der Film,masculine,noun,A1,8,Wir sehen heute Abend einen Film.
373,to fly,fliegen,null,verb,A1,8,Der Vogel fliegt hoch.
374,to please/like,gefallen,null,verb,A1,8,Das Haus gefällt mir.
375,to go/walk,gehen,null,verb,A1,8,Ich gehe nach Hause.
376,gloves (plural),die Handschuhe,feminine,noun,A1,8,Ich trage warme Handschuhe.
377,him (dative),ihm,null,adverb,A1,8,Ich gebe ihm einen Apfel.
378,them (dative),ihnen,null,adverb,A1,8,Ich gebe ihnen das Geld.
379,you (plural),ihr,null,pronoun,A1,8,Was macht ihr am Wochenende?
380,Carnival / Mardi Gras,der Karneval,masculine,noun,A1,8,Ich mag Karneval sehr.
381,to come,kommen,null,verb,A1,8,Ich komme heute Abend nach Hause.
382,to run,laufen,null,verb,A1,8,Ich laufe jeden Morgen im Park.
383,me (dative),mir,null,adverb,A1,8,Meine Mutter gibt mir einen Apfel.
384,"hat, woolly hat",die Mütze,feminine,noun,A1,8,Er trägt eine warme Mütze.
385,news (always plural),die Nachrichten,feminine,noun,A1,8,Ich sehe die Nachrichten jeden Abend.
386,Oktoberfest,das Oktoberfest,neuter,noun,A1,8,Das Oktoberfest findet in München statt.
387,online,online,null,adverb,A1,8,Ich kaufe meine Kleidung oft online bei diesem Shop ein.
388,to happen,passieren,null,verb,A1,8,Das passiert manchmal im Leben.
389,podcast,der Podcast,masculine,noun,A1,8,Ich höre jeden Morgen einen Podcast.
390,scarf,der Schal,masculine,noun,A1,8,Sie trägt einen warmen Schal.
391,to taste (good/bad),schmecken,null,verb,A1,8,Das Essen schmeckt mir sehr gut.
392,already,schon,null,adverb,A1,8,Es ist schon zehn Uhr am Abend und ich bin müde.
393,TV series,die Serie,feminine,noun,A1,8,Ich mag diese neue Serie sehr.
394,to stand,stehen,null,verb,A1,8,Ich stehe am Fenster.
395,us (accusative),uns,null,adverb,A1,8,Unsere Freunde besuchen uns nächstes Wochenende in Köln.
396,why,warum,null,adverb,A1,8,Warum lernst du Deutsch für deinen neuen Job?
397,Christmas market,der Weihnachtsmarkt,masculine,noun,A1,8,Wir gehen zum Weihnachtsmarkt heute.
398,which (question word for nouns),welcher,null,adjective,A1,8,Welcher Zug fährt nach Berlin?
399,magazine,die Zeitschrift,feminine,noun,A1,8,Ich lese eine interessante Zeitschrift.
400,newspaper,die Zeitung,feminine,noun,A1,8,Mein Vater liest jeden Morgen die Zeitung.
401,abbreviation,die Abkürzung,feminine,noun,A2,9,Was bedeutet diese Abkürzung?
402,"cancellation, decline",die Absage,feminine,noun,A2,9,Ich habe eine Absage für das Treffen bekommen.
403,"to cancel, decline",absagen,null,verb,A2,9,Ich muss unseren Termin absagen.
404,"to begin, to start",anfangen,null,verb,A2,9,Der Kurs fängt um neun Uhr an.
405,to call (phone),anrufen,null,verb,A2,9,Ich muss meine Mutter anrufen.
406,"announcement, outgoing message",die Ansage,feminine,noun,A2,9,Ich habe die Ansage am Telefon nicht verstanden.
407,app,die App,feminine,noun,A2,9,Ich lade die neue App auf mein Handy herunter.
408,"to stop, to cease",aufhören,null,verb,A2,9,Hör bitte auf zu reden!
409,"to receive, to get",bekommen,null,verb,A2,9,Ich bekomme oft Post von dir.
410,to insult,beleidigen,null,verb,A2,9,Man sollte niemals jemanden beleidigen.
411,to use,benutzen,null,verb,A2,9,Kann ich dein Handy benutzen?
412,letter,der Brief,masculine,noun,A2,9,Ich schrieb einen Brief an meinen Freund.
413,chat,der Chat,masculine,noun,A2,9,Ich habe gestern Abend im Chat geschrieben.
414,to chat,chatten,null,verb,A2,9,Sie chatten jeden Abend mit Freunden.
415,cyberbullying,das Cybermobbing,neuter,noun,A2,9,Cybermobbing ist ein ernstes Problem für Jugendliche.
416,that (conjunction),dass,null,conjunction,A2,9,"Ich hoffe, dass du kommst."
417,to discuss,diskutieren,null,verb,A2,9,Sie diskutieren oft über Politik.
418,urgent,dringend,null,adjective,A2,9,Ich habe eine dringende Frage an dich.
419,email,die E-Mail,feminine,noun,A2,9,Ich habe heute eine wichtige E-Mail bekommen.
420,to invite,einladen,null,verb,A2,9,Ich möchte dich zum Essen einladen.
421,to develop,entwickeln,null,verb,A2,9,Das Kind entwickelt sich gut.
422,to invent,erfinden,null,verb,A2,9,Wer hat das Telefon erfunden?
423,invention,die Erfindung,feminine,noun,A2,9,Das Telefon war eine wichtige Erfindung.
424,"celebration, party",die Feier,feminine,noun,A2,9,Wir gehen heute Abend zu einer Feier.
425,to celebrate,feiern,null,verb,A2,9,Wir haben seinen Geburtstag gefeiert.
426,"celebration, party, festival",das Fest,neuter,noun,A2,9,Das Fest war sehr lustig.
427,formal,formell,null,adjective,A2,9,Das war ein sehr formelles Treffen.
428,"in the past, formerly",früher,null,adverb,A2,9,Früher wohnte ich in Berlin.
429,history / story,die Geschichte,feminine,noun,A2,9,Ich lese gerne alte Geschichten vor dem Schlafengehen.
430,mobile phone,das Handy,neuter,noun,A2,9,Ich habe mein Handy zu Hause vergessen.
431,main clause,der Hauptsatz,masculine,noun,A2,9,Ein Hauptsatz kann alleine stehen.
432,"heartfelt, warm",herzlich,null,adjective,A2,9,Wir senden Ihnen herzliche Grüße aus Berlin.
433,nowadays,heutzutage,null,adverb,A2,9,Heutzutage ist alles teurer als früher.
434,to stay in contact,in Kontakt bleiben,null,phrase,A2,9,Lasst uns nach dem Kurs in Kontakt bleiben.
435,indirect,indirekt,null,adjective,A2,9,Seine Antwort war sehr indirekt.
436,informal,informell,null,adjective,A2,9,Die Besprechung war ziemlich informell.
437,internet,das Internet,neuter,noun,A2,9,Das Internet funktioniert heute sehr langsam.
438,century,das Jahrhundert,neuter,noun,A2,9,Diese Kirche wurde im 15. Jahrhundert gebaut.
439,every day,jeden Tag,null,phrase,A2,9,Ich gehe jeden Tag spazieren.
440,communication,die Kommunikation,feminine,noun,A2,9,Gute Kommunikation ist wichtig für ein Team.
441,voicemail / mailbox,die Mailbox,feminine,noun,A2,9,Sie haben eine Nachricht auf Ihrer Mailbox.
442,sometimes,manchmal,null,adverb,A2,9,Manchmal regnet es im Sommer viel.
443,to bring along,mitbringen,null,verb,A2,9,Soll ich etwas zum Essen mitbringen?
444,"to inform, communicate",mitteilen,null,verb,A2,9,Bitte teilen Sie mir das Datum mit.
445,message,die Nachricht,feminine,noun,A2,9,Ich habe eine wichtige Nachricht für dich.
446,subordinate clause,der Nebensatz,masculine,noun,A2,9,Ein Nebensatz beginnt oft mit einer Konjunktion.
447,never,nie,null,adverb,A2,9,Er hat das noch nie gemacht.
448,"whether, if",ob,null,conjunction,A2,9,"Ich frage mich, ob er kommt."
449,often,oft,null,adverb,A2,9,Wir sehen uns oft am Wochenende.
450,past participle,das Partizip II,neuter,noun,A2,9,Wir lernen heute das Partizip II der starken Verben.
451,"since, for (time)",seit,null,preposition,A2,9,Ich lerne seit drei Monaten Deutsch.
452,rarely,selten,null,adverb,A2,9,Sie geht selten ins Kino.
453,smartphone,das Smartphone,neuter,noun,A2,9,Ich habe mein Smartphone verloren.
454,"smiley, emoji",der Smiley,masculine,noun,A2,9,Er schickte mir einen lustigen Smiley.
455,text message,die SMS,feminine,noun,A2,9,Ich habe dir eine SMS geschickt.
456,technology,die Technologie,feminine,noun,A2,9,Neue Technologie verändert unser Leben stark.
457,telephone,das Telefon,neuter,noun,A2,9,"Mein Telefon klingelt, aber ich habe keine Zeit."
458,separable (prefix),trennbar,null,adjective,A2,9,Das Verb 'anrufen' ist trennbar.
459,approximately,ungefähr,null,adverb,A2,9,Das dauert ungefähr zehn Minuten.
460,"impolite, rude",unhöflich,null,adjective,A2,9,Das war sehr unhöflich von ihm.
461,inseparable (prefix),untrennbar,null,adjective,A2,9,Glück und Liebe sind untrennbar verbunden.
462,video,das Video,neuter,noun,A2,9,Hast du das neue Video schon gesehen?
463,to call back,zurückrufen,null,verb,A2,9,Ich rufe dich später zurück.
464,acceptance (of an invitation),die Zusage,feminine,noun,A2,9,Wir warten noch auf die Zusage.
465,to accept (invitation),zusagen,null,verb,A2,9,Ich werde die Einladung zusagen.
466,suit,der Anzug,masculine,noun,A2,10,Er kaufte einen neuen Anzug für die Hochzeit.
467,"to look, to appear",aussehen,null,verb,A2,10,Das Wetter sieht heute gut aus.
468,appearance / looks,das Aussehen,neuter,noun,A2,10,Sein Aussehen war ihm sehr wichtig.
469,blog,der Blog,masculine,noun,A2,10,Ich lese oft seinen Reise-Blog.
470,blouse,die Bluse,feminine,noun,A2,10,Ich habe eine neue weiße Bluse gekauft.
471,to be in favour,dafür sein,null,phrase,A2,10,"Ich bin dafür, dass wir das Projekt bald starten."
472,to be against,dagegen sein,null,phrase,A2,10,"Er ist dagegen, am Sonntag lange zu arbeiten."
473,demonstrative pronoun,das Demonstrativpronomen,neuter,noun,A2,10,Dieses Demonstrativpronomen zeigt auf den Mann.
474,energetic,energisch,null,adjective,A2,10,Sie hat energisch an dem Projekt gearbeitet.
475,tight / narrow,eng,null,adjective,A2,10,Diese Hose ist mir zu eng.
476,first impression,erste Eindruck,masculine,phrase,A2,10,Der erste Eindruck ist oft sehr wichtig im Leben.
477,gladly → preferably → most,gern → lieber → am liebsten,null,phrase,A2,10,"Ich schwimme gern, aber ich tanze lieber."
478,size,die Größe,feminine,noun,A2,10,Welche Größe hat dieses Hemd?
479,good → better → best,gut → besser → am besten,null,phrase,A2,10,"Dein Kaffee ist gut, aber mein Tee ist besser."
480,handbag,die Handtasche,feminine,noun,A2,10,Sie hat ihre Schlüssel in der Handtasche vergessen.
481,shirt,das Hemd,neuter,noun,A2,10,Er trug ein blaues Hemd zur Hose.
482,trousers / pants,die Hose,feminine,noun,A2,10,Ich brauche eine neue Hose für die Arbeit.
483,pretty / good-looking,hübsch,null,adjective,A2,10,Das neue Kleid ist wirklich hübsch.
484,hat,der Hut,masculine,noun,A2,10,Er setzte sich einen eleganten Hut auf.
485,intelligent,intelligent,null,adjective,A2,10,Mein Hund ist sehr intelligent und lernt schnell.
486,jacket,die Jacke,feminine,noun,A2,10,"Zieh deine Jacke an, es ist kalt draußen."
487,jeans,die Jeans,feminine,noun,A2,10,Ich trage am liebsten bequeme Jeans.
488,young,jung,null,adjective,A2,10,Meine Schwester ist noch sehr jung.
489,dress,das Kleid,neuter,noun,A2,10,Sie hat ein schönes rotes Kleid getragen.
490,comparative,der Komparativ,masculine,noun,A2,10,„Schneller“ ist der Komparativ von „schnell“.
491,subjunctive II (polite),der Konjunktiv II,masculine,noun,A2,10,Für höfliche Bitten nutzt man den Konjunktiv II.
492,short,kurz,null,adjective,A2,10,Der Weg zum Bahnhof ist sehr kurz.
493,long,lang,null,adjective,A2,10,Dieser Film ist mir zu lang.
494,coat,der Mantel,masculine,noun,A2,10,"Es ist kalt, zieh deinen Mantel an."
495,opinion,die Meinung,feminine,noun,A2,10,Was ist deine Meinung dazu?
496,operation,die Operation,feminine,noun,A2,10,Die Operation verlief ohne Probleme.
497,optimistic,optimistisch,null,adjective,A2,10,Trotz der Probleme blieb sie optimistisch.
498,to fit,passen,null,verb,A2,10,Die Schuhe passen mir nicht.
499,pessimistic,pessimistisch,null,adjective,A2,10,Sei nicht so pessimistisch!
500,to try (on),probieren,null,verb,A2,10,Kann ich dieses Hemd mal probieren?
501,pullover / jumper,der Pullover,masculine,noun,A2,10,Ich brauche einen warmen Pullover für den Winter.
502,discount,der Rabatt,masculine,noun,A2,10,Wir haben einen Rabatt auf die Schuhe bekommen.
503,smoking ban,das Rauchverbot,neuter,noun,A2,10,In diesem Gebäude gibt es ein striktes Rauchverbot.
504,to be right,recht haben,null,phrase,A2,10,"Du hast recht, wir sollten jetzt gehen."
505,skirt,der Rock,masculine,noun,A2,10,Sie trägt heute einen neuen Rock.
506,calm / quiet,ruhig,null,adjective,A2,10,Bitte sei ruhig!
507,seamstress / tailor (female),die Schneiderin,feminine,noun,A2,10,Ich bringe mein Kleid zur Schneiderin zum Ändern.
508,cosmetic surgeon,der Schönheitschirurg,masculine,noun,A2,10,Der Schönheitschirurg ist sehr bekannt.
509,cosmetic surgery,die Schönheitsoperation,feminine,noun,A2,10,Sie dachte über eine Schönheitsoperation im Gesicht nach.
510,shoes,die Schuhe,feminine,noun,A2,10,Ich brauche neue Schuhe für den Winter.
511,as ... as,so ... wie,null,phrase,A2,10,Er ist so schnell wie ein Blitz.
512,immediately / right away,sofort,null,adverb,A2,10,Bitte schick mir die E-Mail sofort.
513,special offer,das Sonderangebot,neuter,noun,A2,10,Dieses Sonderangebot ist sehr günstig.
514,sporty / athletic,sportlich,null,adjective,A2,10,Sie ist sehr sportlich und fit.
515,boots,die Stiefel,feminine,noun,A2,10,Ich brauche neue warme Stiefel für den Winter.
516,voice,die Stimme,feminine,noun,A2,10,Sie hat eine sehr schöne Stimme.
517,superlative,der Superlativ,masculine,noun,A2,10,Der Superlativ ist die höchste Form.
518,T-shirt,das T-Shirt,neuter,noun,A2,10,Ich trage oft ein T-Shirt im Sommer.
519,changing room / fitting room,die Umkleidekabine,feminine,noun,A2,10,Die Umkleidekabine ist dort drüben.
520,not dangerous / safe,ungefährlich,null,adjective,A2,10,Der kleine Hund ist völlig ungefährlich.
521,unpleasant / unlikeable,unsympathisch,null,adjective,A2,10,Ihr neuer Chef ist mir leider unsympathisch.
522,salesman,der Verkäufer,masculine,noun,A2,10,Der Verkäufer war sehr freundlich.
523,much → more → most,viel → mehr → am meisten,null,phrase,A2,10,"Ich habe viel Geld, aber er hat mehr."
524,wide / loose,weit,null,adjective,A2,10,Sie trägt eine weite Hose.
525,too big / too small,zu groß / zu klein,null,phrase,A2,10,Das Hemd ist mir leider zu groß.
526,to depart,abfahren,null,verb,A2,11,Der Zug fährt pünktlich ab.
527,to arrive,ankommen,null,verb,A2,11,Wann kommt der Bus an?
528,"day trip, excursion",der Ausflug,masculine,noun,A2,11,Wir machten einen schönen Ausflug zum See.
529,mountain,der Berg,masculine,noun,A2,11,Wir wanderten auf den Berg.
530,"to visit, to sightsee",besichtigen,null,verb,A2,11,Wir wollen die Stadt besichtigen.
531,cloudy,bewölkt,null,adjective,A2,11,Heute ist der Himmel bewölkt.
532,flight,der Flug,masculine,noun,A2,11,Unser Flug nach Berlin startet um acht Uhr.
533,to photograph,fotografieren,null,verb,A2,11,Ich habe gestern viele Fotos fotografiert.
534,to enjoy,genießen,null,verb,A2,11,Ich genieße die Sonne sehr.
535,thunderstorm,das Gewitter,neuter,noun,A2,11,Letzte Nacht gab es ein starkes Gewitter.
536,hot,heiß,null,adjective,A2,11,Es war ein sehr heißer Sommer letztes Jahr.
537,hostel,das Hostel,neuter,noun,A2,11,Wir haben in einem günstigen Hostel übernachtet.
538,cold,kalt,null,adjective,A2,11,Mir ist heute sehr kalt.
539,camera,die Kamera,feminine,noun,A2,11,Hast du deine Kamera mitgebracht?
540,church,die Kirche,feminine,noun,A2,11,Wir haben am Sonntag die alte Kirche besucht.
541,last summer,letzten Sommer,null,phrase,A2,11,Letzten Sommer waren wir in Italien.
542,market,der Markt,masculine,noun,A2,11,Wir gehen jeden Samstag auf den Markt.
543,fog,der Nebel,masculine,noun,A2,11,Heute Morgen gab es starken Nebel.
544,to pack,packen,null,verb,A2,11,Ich muss meinen Koffer packen.
545,passport,der Pass,masculine,noun,A2,11,Haben Sie Ihren Pass dabei?
546,postcard,die Postkarte,feminine,noun,A2,11,Ich schicke dir eine Postkarte aus dem Urlaub.
547,rain,der Regen,masculine,noun,A2,11,Der Regen fällt seit Stunden.
548,rainy,regnerisch,null,adjective,A2,11,Das Wetter war gestern sehr regnerisch.
549,to travel,reisen,null,verb,A2,11,Sie reisen oft in andere Länder.
550,reservation,die Reservierung,feminine,noun,A2,11,Haben Sie eine Reservierung auf meinen Namen?
551,snow,der Schnee,masculine,noun,A2,11,Der Schnee bedeckt die ganze Landschaft.
552,to have nice weather,schönes Wetter haben,null,phrase,A2,11,Wir haben heute endlich schönes Wetter.
553,"sight, tourist attraction",die Sehenswürdigkeit,feminine,noun,A2,11,Berlin hat viele interessante Sehenswürdigkeiten.
554,sunny,sonnig,null,adjective,A2,11,Heute ist es sehr sonnig.
555,souvenir,das Souvenir,neuter,noun,A2,11,Ich möchte ein Souvenir für meine Mutter kaufen.
556,stem (of a verb),der Stamm,masculine,noun,A2,11,Der Stamm ist der feste Teil eines Verbs.
557,taxi,das Taxi,neuter,noun,A2,11,Wir nehmen ein Taxi zum Flughafen.
558,ticket,das Ticket,neuter,noun,A2,11,Ich habe mein Ticket online gekauft.
559,tourist,der Tourist,masculine,noun,A2,11,Viele Touristen besuchen diese Stadt.
560,tourist information office,die Touristeninformation,feminine,noun,A2,11,Wir fragten in der Touristeninformation nach einem Stadtplan.
561,to stay overnight,übernachten,null,verb,A2,11,Wir übernachteten in einem kleinen Hotel.
562,irregular,unregelmäßig,null,adjective,A2,11,Ihre Arbeitszeiten sind unregelmäßig.
563,a year ago,vor einem Jahr,null,phrase,A2,11,Wir sind vor einem Jahr umgezogen.
564,narrative past,die Vorvergangenheit,feminine,noun,A2,11,Die Vorvergangenheit ist eine Zeitform im Deutschen.
565,forest,der Wald,masculine,noun,A2,11,Wir gehen oft im Wald spazieren.
566,to hike,wandern,null,verb,A2,11,Wir wandern gern in den Bergen.
567,warm,warm,null,adjective,A2,11,Heute ist es draußen sehr warm.
568,weather,das Wetter,neuter,noun,A2,11,Das Wetter wird morgen wahrscheinlich besser sein.
569,wind,der Wind,masculine,noun,A2,11,Der Wind weht heute stark.
570,for the first time,zum ersten Mal,null,phrase,A2,11,Ich bin zum ersten Mal in Deutschland.
571,allergy,die Allergie,feminine,noun,A2,12,Ich habe eine Allergie gegen Nüsse.
572,arm,der Arm,masculine,noun,A2,12,Mein Arm tut nach dem Sturz weh.
573,aspirin,das Aspirin,neuter,noun,A2,12,Ich habe ein Aspirin gegen meine Kopfschmerzen genommen.
574,sufficiently,ausreichend,null,adverb,A2,12,Du hast nicht ausreichend geschlafen.
575,"belly, stomach",der Bauch,masculine,noun,A2,12,Mein Bauch tut nach zu viel Essen weh.
576,leg,das Bein,neuter,noun,A2,12,Er hat sich bei einem Unfall das Bein gebrochen.
577,please,Bitte,null,adverb,A2,12,Kannst du mir bitte helfen?
578,"chest, breast",die Brust,feminine,noun,A2,12,Er hatte leichte Schmerzen in der Brust.
579,"may, to be allowed to",dürfen,null,verb,A2,12,Dürfen wir hier parken?
580,Get well!,Erhol dich!,null,phrase,A2,12,Du bist müde. Erhol dich gut!
581,fever,das Fieber,neuter,noun,A2,12,Ich hatte gestern hohes Fieber.
582,finger,der Finger,masculine,noun,A2,12,Er zeigte mit dem Finger auf die Karte.
583,foot,der Fuß,masculine,noun,A2,12,Er spürte Schmerzen in seinem linken Fuß.
584,flu,die Grippe,feminine,noun,A2,12,Letzte Woche hatte ich die Grippe.
585,"neck, throat",der Hals,masculine,noun,A2,12,Mein Hals tut seit gestern weh.
586,sore throat,Halsschmerzen (Pl.),null,noun,A2,12,Ich habe starke Halsschmerzen und Fieber.
587,imperative (grammar),der Imperativ,masculine,noun,A2,12,Der Imperativ wird für Befehle benutzt.
588,knee,das Knie,neuter,noun,A2,12,Mein rechtes Knie tut seit gestern weh.
589,headache,der Kopfschmerz,masculine,noun,A2,12,Ich habe heute Morgen starke Kopfschmerzen.
590,"sick, ill",krank,null,adjective,A2,12,Ich bin leider krank und kann nicht kommen.
591,health insurance,die Krankenkasse,feminine,noun,A2,12,Ich muss meine Krankenkasse kontaktieren.
592,health insurance,die Krankenversicherung,feminine,noun,A2,12,Jeder braucht eine gute Krankenversicherung.
593,mouth,der Mund,masculine,noun,A2,12,"Mach deinen Mund auf, bitte."
594,nose,die Nase,feminine,noun,A2,12,Er hat eine kleine Nase.
595,ear,das Ohr,neuter,noun,A2,12,Er hat sich sein linkes Ohr beim Sport verletzt.
596,patient (male),der Patient,masculine,noun,A2,12,Der Patient wartet im Wartezimmer.
597,patient (female),die Patientin,feminine,noun,A2,12,Die Patientin wartet schon lange auf den Arzt.
598,advice,der Rat,masculine,noun,A2,12,Dein Rat war sehr hilfreich für mich.
599,reflexive pronoun,das Reflexivpronomen,neuter,noun,A2,12,Heute üben wir die deutschen Reflexivpronomen im Akkusativ.
600,back,der Rücken,masculine,noun,A2,12,Mein Rücken tut mir weh vom Sport.
601,Get some rest!,Ruh dich aus!,null,phrase,A2,12,Du siehst müde aus. Ruh dich aus!
602,to rest,ruhen,null,verb,A2,12,Du solltest dich nach der Arbeit ruhen.
603,to swallow,schlucken,null,verb,A2,12,Bitte schlucke die Tablette mit Wasser.
604,to have pain,Schmerzen haben,null,phrase,A2,12,Ich habe starke Schmerzen im Rücken.
605,shoulder,die Schulter,feminine,noun,A2,12,Sie hat Schmerzen in der rechten Schulter.
606,"to rest, to relax",sich ausruhen,null,verb,A2,12,Ich muss mich nach der Wanderung ausruhen.
607,"to move, to exercise",sich bewegen,null,verb,A2,12,Wir sollten uns jeden Tag bewegen.
608,to recover,sich erholen,null,verb,A2,12,Er muss sich von der Krankheit erholen.
609,to catch a cold,sich erkälten,null,verb,A2,12,Ich will mich nicht erkälten.
610,"to eat, to nourish oneself",sich ernähren,null,verb,A2,12,Man sollte sich gesund ernähren.
611,to feel,sich fühlen,null,verb,A2,12,Wie fühlst du dich heute?
612,to worry,sich Sorgen machen,null,phrase,A2,12,"Mach dir keine Sorgen, alles wird gut!"
613,"should, ought to",sollen,null,verb,A2,12,Wir sollen jetzt wirklich gehen.
614,consultation hours,die Sprechstunde,feminine,noun,A2,12,Die Ärztin hat heute Nachmittag Sprechstunde.
615,symptom,das Symptom,neuter,noun,A2,12,Husten ist ein häufiges Symptom einer Erkältung.
616,daily,täglich,null,adverb,A2,12,Sie liest täglich die Nachrichten.
617,appointment,der Termin,masculine,noun,A2,12,Ich habe heute einen wichtigen Termin.
618,to examine,untersuchen,null,verb,A2,12,Der Arzt untersuchte den jungen Patienten.
619,to hurt,wehtun,null,verb,A2,12,Mein Kopf tut mir weh.
620,when / whenever,wenn,null,conjunction,A2,12,"Wenn ich Zeit habe, lese ich."
621,most of all / best of all,am liebsten,null,adverb,A2,13,Ich trinke am liebsten Kaffee.
622,"at, on (vertical)",an,null,preposition,A2,13,Das Bild hängt an der Wand.
623,apartment,das Apartment,neuter,noun,A2,13,Wir haben ein kleines Apartment in der Stadt gemietet.
624,on (horizontal),auf,null,preposition,A2,13,Die Katze schläft auf dem Sofa.
625,bathroom,das Badezimmer,neuter,noun,A2,13,Das Badezimmer war nach der Party schmutzig.
626,to build,bauen,null,verb,A2,13,Sie bauen ein neues Haus hier.
627,floor,der Boden,masculine,noun,A2,13,Der Boden ist sehr sauber.
628,bookshelf,das Bücherregal,neuter,noun,A2,13,Wir haben ein neues Bücherregal gekauft.
629,dark,dunkel,null,adjective,A2,13,Es wird schnell dunkel am Abend.
630,to move in,einziehen,null,verb,A2,13,Wir wollen bald in die neue Wohnung einziehen.
631,colour / paint,die Farbe,feminine,noun,A2,13,Welche Farbe hat dein neues Auto?
632,finished / ready,fertig,null,adjective,A2,13,Bist du schon mit der Arbeit fertig?
633,hallway,der Flur,masculine,noun,A2,13,Hängen Sie Ihren Mantel im Flur auf.
634,dish / meal,das Gericht,neuter,noun,A2,13,"Dieses Gericht schmeckt sehr gut, was ist das?"
635,cheap / good value,günstig,null,adjective,A2,13,Das neue Auto war sehr günstig.
636,craftsman / tradesman,der Handwerker,masculine,noun,A2,13,Der Handwerker hat unsere Küche repariert.
637,to hang,hängen,null,verb,A2,13,Die Jacke hängt im Schrank.
638,main course,das Hauptgericht,neuter,noun,A2,13,Als Hauptgericht wähle ich den Fisch mit Reis.
639,bright / light,hell,null,adjective,A2,13,Das Zimmer ist sehr hell und freundlich.
640,behind,hinter,null,preposition,A2,13,Das Auto steht hinter dem Haus.
641,ideal,ideal,null,adjective,A2,13,Das Wetter ist ideal für einen Spaziergang.
642,"in, into",in,null,preposition,A2,13,Wir leben in einer kleinen Stadt.
643,broken,kaputt,null,adjective,A2,13,Mein Handy ist leider kaputt.
644,waiter,der Kellner,masculine,noun,A2,13,Der Kellner bringt uns bald das Essen.
645,waitress,die Kellnerin,feminine,noun,A2,13,Die Kellnerin brachte uns das Essen.
646,cushion / pillow,das Kissen,neuter,noun,A2,13,Ich brauche ein weiches Kissen für meinen Nacken.
647,kitchen,die Küche,feminine,noun,A2,13,Wir haben in der Küche zu Abend gegessen.
648,lamp,die Lampe,feminine,noun,A2,13,Kannst du bitte die Lampe anmachen?
649,"to lay, to put (flat)",legen,null,verb,A2,13,Sie legt das Buch auf den Tisch.
650,rather / preferably,lieber,null,adverb,A2,13,Ich trinke lieber Kaffee als Tee.
651,painter (decorator),der Maler,masculine,noun,A2,13,Der Maler streicht unser Wohnzimmer nächste Woche.
652,rent,die Miete,feminine,noun,A2,13,Die Miete für die Wohnung ist teuer.
653,furniture,die Möbel,feminine,noun,A2,13,Wir haben neue Möbel für das Schlafzimmer gekauft.
654,modern,modern,null,adjective,A2,13,Unsere neue Wohnung ist sehr modern.
655,dessert,die Nachspeise,feminine,noun,A2,13,Als Nachspeise gab es Eis mit Früchten.
656,next to,neben,null,preposition,A2,13,Er sitzt neben seiner Freundin.
657,parquet (flooring),das Parkett,neuter,noun,A2,13,"Unser Wohnzimmer hat schönes, glänzendes Parkett."
658,square metre,der Quadratmeter (m²),masculine,noun,A2,13,Die Wohnung ist 70 Quadratmeter groß.
659,bill,die Rechnung,feminine,noun,A2,13,Können wir bitte die Rechnung für das Essen haben?
660,shelf / bookcase,das Regal,neuter,noun,A2,13,Ich habe die Bücher ins Regal gestellt.
